Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Hashtags,Mentions,Media Type,,
1448037290366828545,"#futbol #ChampionsLeague #MexicanosEnElExtranjero
🔴La mexicana Kenti Robles, jugadora del #RealMadrid, reconoció que el formidable gol que logró ante #ManchesterCity significó mucho para ella ⚽️
#DiariodeMexico
https://t.co/Ytw2Nsiz0I",Diario de México,DDMexico,2021-10-12T21:26:07.000Z,Tue Oct 12 21:26:07 +0000 2021,2,2,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,6,0,,,
1448036943053402129,RT @96_lil_Troy : #furry #football #ChampionsLeague,Octavio.⚡,dir_oct_avio,2021-10-12T21:24:45.000Z,Tue Oct 12 21:24:45 +0000 2021,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,3,0,,,
1448035817939771395,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",Perf Standard♻️,Kamiss_kamiss2,2021-10-12T21:20:16.000Z,Tue Oct 12 21:20:16 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448034799873150982,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",عُمَر,PRKSANTANA7,2021-10-12T21:16:14.000Z,Tue Oct 12 21:16:14 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448033144091856905,"RT @FanaticalTravel : ⚽️LATE AVAILABILITY CHAMPIONS LEAGUE  - A. Madrid v @LFC ⚽️

18 - 20 Oct 2021

Return flights from @LPL_Airport 

ONLY £71pp

Book: https://t.co/hlPXKzQIKd

2 night stay - 3* Fuencarral Rooms 

ONLY £123 per room

Book: https://t.co/lAKiDS20X8

#LFC #ChampionsLeague #EuroAway https://t.co/e5sO5TJqhI",Twit To Woo,TwitToWoo4,2021-10-12T21:09:39.000Z,Tue Oct 12 21:09:39 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,3,2,photo,,
1448032933848178693,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",ltey ✞,HelteiYT,2021-10-12T21:08:49.000Z,Tue Oct 12 21:08:49 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448032642163695623,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",NellE 👑,LaMxajestik,2021-10-12T21:07:39.000Z,Tue Oct 12 21:07:39 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448032208288092167,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",Dylan Le Tiec,TiecDylan,2021-10-12T21:05:56.000Z,Tue Oct 12 21:05:56 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,3,2,video,,
1448031811674705927,"#ChampionsLeague | ¡CR7, IMPARABLE!👏🇵🇹

⚽️Cristiano fue el autor de un triplete en la goleada de Portugal por 5-0 ante Luxemburgo.

 #Portugal 5 - 0 #Luxemburgo https://t.co/eBOitRgauI",Fanáticos,Fanaticos21,2021-10-12T21:04:21.000Z,Tue Oct 12 21:04:21 +0000 2021,0,0,es,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,3,0,photo,,
1448031266587164681,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",MKS,MehdiiKS,2021-10-12T21:02:11.000Z,Tue Oct 12 21:02:11 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
